Date,Task,Project,Count
,Weekly review every week,Habbit,2
,Udacity,ML related,5
,[Assignment 2 ](https://www.udacity.com/cours...,ML related,2
,Cooking,Habbit,3
,SFE Navigation type aware results,Siri API work,2
,"Errands, Email, calls",Habbit,1
2016-04-25,,,
,HBR: Guide to manage up and across,Reading,2
2016-04-26,,,
,HIIT,Health goal,1
,Arms day,Habbit,1
,Pref name first IBE,A/B projects,4
2016-04-27,,,
,Pref name first IBE,A/B projects,14
2016-04-28,,,
,Pref name first IBE,A/B projects,5
,Core strength,Habbit,2
,"Errands, Email, calls",Habbit,2
,HBR: Guide to manage up and across,Reading,1
2016-04-29,,,
,HBR: Guide to manage up and across,Reading,1
,[MNIST for Beginners],Deep Learning,1
2016-04-30,,,
,HIIT,Health goal,2
,The Yoga Face,Reading,2
,SciPy 2013 part2,ML related,1
,"Errands, Email, calls",Habbit,1
2016-05-01,,,
,SciPy 2013 part4,ML related,3
,SciPy 2013 part3,ML related,1
,Panda SciPy worksheet,ML related,2
2016-05-02,,,
,Weekly review every week,Habbit,1
2016-05-03,,,
,And query radar,Work Apple,3
,Panda SciPy worksheet,ML related,1
,Pref name first IBE,A/B projects,4
,"Errands, Email, calls",Habbit,1
2016-05-04,,,
,Analysis,32 A/B: Viewport expansion,2
,Clean house,Habbit,1
,Panda SciPy worksheet,ML related,4
2016-05-05,,,
,Analysis,32 A/B: Viewport expansion,9
,Panda SciPy worksheet,ML related,2
,"Errands, Email, calls",Habbit,1
,Arms day,Habbit,2
2016-05-06,,,
,Analysis,32 A/B: Viewport expansion,5
,Panda SciPy worksheet,ML related,2
2016-05-07,,,
,Clean house,Habbit,2
2016-05-08,,,
,Panda SciPy worksheet,ML related,6
,Beyond ToDoist podcast,Podcast ,1
,500 miles bike,Health goal,3
,Beyond Todo list,Podcast,1
2016-05-09,,,
,Pref name first IBE,A/B projects,1
,Analysis,32 A/B: Viewport expansion,6
,"Errands, Email, calls",Habbit,1
2016-05-10,,,
