Date,Pomodoro,Project,Count
2016-06-22,Biking stationary,Habbit,1
2016-07-29,Biking stationary,Habbit,1
2016-08-04,Biking stationary,Habbit,1
2016-08-25,Biking stationary,Habbit,1
2016-09-13,Biking stationary,Habbit,1
2016-09-27,Biking stationary,Habbit,1
2016-10-07,Biking stationary,Habbit,1
2016-10-14,Biking stationary,Habbit,1
2016-10-17,Biking stationary,Habbit,1
2016-11-02,Biking stationary,Habbit,1
2015-11-15,Bills Errands,Online work,2
2015-11-16,Bills Errands,Online work,1
2016-01-28,Bills Errands,Online work,1
2015-09-11,Bin definitive issue ,Work Apple,2
2016-11-03,Blog CS213N Assignment 1 and 2,Convolutional NN for Visual Recognition,4
2015-11-01,Blog Medium,Online work,1
2015-11-03,Blog Medium,Online work,1
2015-11-08,Blog Medium,Online work,6
2017-06-02,Blog Word2Vec Skip gram,ML related,1
2017-01-05,Blog assignment 3,Convolutional NN for Visual Recognition,3
2017-01-24,Blog kapild,Convolutional NN for Visual Recognition,1
2017-01-25,Blog kapild,Convolutional NN for Visual Recognition,5
2017-01-26,Blog kapild,Convolutional NN for Visual Recognition,7
2016-01-14,Bullet journal,Tentative 2016 goals,1
2016-01-17,But running shoes,Sun 17th Jan,1
2017-02-12,Capstone Project: Detecting Images from Stree...,Google Udacity Deep learning,1
2016-01-16,Chain MM match A/B,Work Apple,2
2016-02-16,Chest,Habbit,1
2016-05-10,Chest,Habbit,2
2016-05-17,Chest,Habbit,1
2016-06-06,Chest,Habbit,2
2016-06-22,Chest,Habbit,1
2016-08-04,Chest,Habbit,1
2016-08-11,Chest,Habbit,1
2016-02-20,Clean house,Habbit,2
2016-03-05,Clean house,Habbit,1
2016-03-12,Clean house,Habbit,2
2016-03-16,Clean house,Habbit,1
2016-03-30,Clean house,Habbit,1
2016-04-02,Clean house,Habbit,1
2016-04-09,Clean house,Habbit,1
2016-04-16,Clean house,Habbit,1
2016-05-04,Clean house,Habbit,1
2016-05-07,Clean house,Habbit,2
2016-05-14,Clean house,Habbit,3
2016-07-30,Clean house,Habbit,3
2016-05-29,Co-occurence matrix,ML related,3
2016-06-03,Code Model Loader,32 A/B: Viewport expansion,6
2016-06-06,Code Model Loader,32 A/B: Viewport expansion,4
2016-06-07,Code Model Loader,32 A/B: Viewport expansion,5
2016-06-08,Code Model Loader,32 A/B: Viewport expansion,15
2016-06-09,Code Model Loader,32 A/B: Viewport expansion,3
2016-06-10,Code Model Loader,32 A/B: Viewport expansion,3
2016-06-15,Code Model Loader,32 A/B: Viewport expansion,2
2016-06-16,Code Model Loader,32 A/B: Viewport expansion,6
2016-06-17,Code Model Loader,32 A/B: Viewport expansion,3
2016-06-20,Code Model Loader,32 A/B: Viewport expansion,1
2016-06-20,Code Pick scope strategy,32 A/B: Viewport expansion,2
2016-06-21,Code Pick scope strategy,32 A/B: Viewport expansion,7
2016-06-22,Code Pick scope strategy,32 A/B: Viewport expansion,13
2016-06-23,Code Pick scope strategy,32 A/B: Viewport expansion,16
2015-09-16,Code review ,Work Apple,1
2015-09-21,Code review ,Work Apple,1
2015-09-22,Code review ,Work Apple,1
2016-03-03,Code review 2,Work Apple,2
2016-04-19,Code review 2,Work Apple,2
2017-03-22,Coding On Website,2017 Job change,2
2016-03-01,Collect notes,Siri API work,3
2016-03-02,Collect notes,Siri API work,5
2016-03-03,Collect notes,Siri API work,1
2016-03-07,Collect notes,Siri API work,1
2016-03-08,Collect notes,Siri API work,1
2016-03-15,Collect notes,Siri API work,1
2016-03-16,Collect notes,Siri API work,2
2016-06-13,Competitive analysis,Other work projects,9
2016-06-14,Competitive analysis,Other work projects,14
2016-06-15,Competitive analysis,Other work projects,1
2018-02-02,Computer vision/Deep Learning,2017 Job change,4
2018-02-03,Computer vision/Deep Learning,2017 Job change,19
2018-02-04,Computer vision/Deep Learning,2017 Job change,19
2018-02-05,Computer vision/Deep Learning,2017 Job change,1
2018-02-25,Computer vision/Deep Learning,2017 Job change,5
2018-02-26,Computer vision/Deep Learning,2017 Job change,15
2018-02-27,Computer vision/Deep Learning,2017 Job change,14
2018-02-28,Computer vision/Deep Learning,2017 Job change,14
2017-01-29,Convolutional Neural Networks,Google Udacity Deep learning,1
2016-04-24,Cooking,Habbit,3
2016-05-11,Cooking,Habbit,1
2016-05-24,Cooking,Habbit,1
2016-05-29,Cooking,Habbit,3
2016-05-30,Cooking,Habbit,1
2016-06-04,Cooking,Habbit,2
2016-06-05,Cooking,Habbit,3
2016-06-12,Cooking,Habbit,1
2016-06-22,Cooking,Habbit,1
2016-06-26,Cooking,Habbit,1
2016-07-10,Cooking,Habbit,1
2016-07-11,Cooking,Habbit,1
2016-08-13,Cooking,Habbit,2
2016-08-27,Cooking,Habbit,1
2016-09-11,Cooking,Habbit,3
2016-09-15,Cooking,Habbit,3
2016-09-22,Cooking,Habbit,3
2016-11-06,Cooking,Habbit,4
2017-01-14,Cooking,Habbit,4
2017-02-01,Cooking,iPhone Calendar Event,2
2016-04-17,Core strength,Habbit,2
2016-04-19,Core strength,Habbit,1
2016-04-21,Core strength,Habbit,1
2016-04-23,Core strength,Habbit,1
2016-04-28,Core strength,Habbit,2
2016-05-28,Core strength,Habbit,1
2016-06-12,Core strength,Habbit,1
2016-06-14,Core strength,Habbit,1
2016-06-17,Core strength,Habbit,1
2016-08-15,Core strength,Habbit,1
2016-08-22,Core strength,Habbit,1
2016-09-08,Core strength,Habbit,1
2016-09-13,Core strength,Habbit,1
2016-10-05,Core strength,Habbit,1
2016-10-07,Core strength,Habbit,1
2016-10-10,Core strength,Habbit,1
2016-10-14,Core strength,Habbit,1
2016-10-20,Core strength,Habbit,1
2016-10-21,Core strength,Habbit,1
2016-10-27,Core strength,Habbit,1
2016-12-09,Core strength,Habbit,1
2016-12-13,Core strength,Habbit,1
2016-12-16,Core strength,Habbit,1
2016-12-19,Core strength,Habbit,2
2016-12-20,Core strength,Habbit,2
2017-01-05,Core strength,Habbit,1
2017-01-09,Core strength,Habbit,1
2017-01-20,Core strength,Habbit,1
2017-01-23,Core strength,Habbit,2
2017-01-24,Core strength,Habbit,2
2017-01-30,Core strength,Habbit,2
2017-01-31,Core strength,Habbit,1
2017-02-09,Core strength,Habbit,1
2017-03-01,Core strength,Habbit,1
2017-03-15,Core strength,Habbit,1
2017-04-04,Core strength,Habbit,1
2017-05-17,Core strength,Habbit,1
2015-11-04,Current location,Work Apple,3
2015-11-06,Current location,Work Apple,1
2015-11-10,Current location,Work Apple,12
2016-02-06,Daily Review,Habbit,2
2016-02-19,Daily Review,Habbit,1
2016-05-26,Daily Review,Habbit,1
2016-05-27,Daily Review,Habbit,1
2017-01-21,Daily Review,Habbit,1
2016-02-01,Debug Satr,SATR,5
2016-01-20,Design doc,SATR,3
2016-06-29,Device expansion strategy,32 A/B: Viewport expansion,2
2018-01-20,Eat that Frog : Brian Tracy,Reading,4
2018-01-23,Eat that Frog : Brian Tracy,Reading,1
2018-01-24,Eat that Frog : Brian Tracy,Reading,1
2018-02-01,Eat that Frog : Brian Tracy,Reading,1
2018-02-16,Eat that Frog : Brian Tracy,Reading,3
2015-11-02,Effective engineer,Reading books ,2
2015-11-03,Effective engineer,Reading books ,1
2015-11-08,Effective engineer,Reading books ,6
2015-11-11,Effective engineer,Reading books ,9
2015-11-20,Effective engineer,Reading books ,3
2015-12-01,Effective engineer,Reading books ,3
2015-12-08,Effective engineer,Reading books ,3
2015-12-11,Effective engineer,Reading books ,1
2015-12-13,Effective engineer,Reading books ,2
2015-11-10,"Emails, Call, run online errands",iPhone Calendar Event,3
2015-09-10,En Category default ,Work Apple,2
2015-09-11,En Category default ,Work Apple,5
2016-03-05,"Errands, Email, calls",Habbit,3
2016-03-06,"Errands, Email, calls",Habbit,2
2016-03-12,"Errands, Email, calls",Habbit,5
2016-03-13,"Errands, Email, calls",Habbit,1
2016-03-23,"Errands, Email, calls",Habbit,1
2016-03-30,"Errands, Email, calls",Habbit,2
2016-04-08,"Errands, Email, calls",Habbit,3
2016-04-09,"Errands, Email, calls",Habbit,5
2016-04-17,"Errands, Email, calls",Habbit,5
2016-04-24,"Errands, Email, calls",Habbit,1
2016-04-28,"Errands, Email, calls",Habbit,2
2016-04-30,"Errands, Email, calls",Habbit,1
2016-05-03,"Errands, Email, calls",Habbit,1
2016-05-05,"Errands, Email, calls",Habbit,1
2016-05-09,"Errands, Email, calls",Habbit,1
2016-05-12,"Errands, Email, calls",Habbit,1
2016-05-14,"Errands, Email, calls",Habbit,4
2016-05-16,"Errands, Email, calls",Habbit,1
2016-05-18,"Errands, Email, calls",Habbit,1
2016-05-23,"Errands, Email, calls",Habbit,2
2016-05-27,"Errands, Email, calls",Habbit,3
2016-06-12,"Errands, Email, calls",Habbit,5
2016-06-22,"Errands, Email, calls",Habbit,1
2016-06-27,"Errands, Email, calls",Habbit,3
2017-02-25,"Errands, Email, calls",Habbit,3
2018-02-10,"Errands, Email, calls",Habbit,2
2016-03-07,Figure out library D3,ML related,2
2016-03-10,Figure out library D3,ML related,1
2016-01-30,Foursquare Coding,ML related,1
2016-01-31,Foursquare Coding,ML related,1
2016-02-05,Foursquare Coding,ML related,3
2016-02-06,Foursquare Coding,ML related,1
2016-05-29,Foursquare Coding,ML related,2
2016-02-06,Foursquare blogging,ML related,4
2016-02-28,Foursquare blogging,ML related,8
2016-02-29,Foursquare blogging,ML related,1
2016-03-02,Foursquare blogging,ML related,6
2016-03-03,Foursquare blogging,ML related,1
2016-03-04,Foursquare blogging,ML related,1
2016-03-06,Foursquare blogging,ML related,1
2016-05-29,Foursquare blogging,ML related,3
2016-06-04,Foursquare blogging,ML related,2
2016-06-05,Foursquare blogging,ML related,2
2016-05-10,Getting ready for first Pomodoro,Bad habbits,2
2016-05-11,Getting ready for first Pomodoro,Bad habbits,2
2016-05-12,Getting ready for first Pomodoro,Bad habbits,1
2016-05-17,Getting ready for first Pomodoro,Bad habbits,2
2016-06-22,Getting ready for first Pomodoro,Bad habbits,1
2016-06-27,Getting ready for first Pomodoro,Bad habbits,1
2016-06-28,Getting ready for first Pomodoro,Bad habbits,1
2016-06-29,Getting ready for first Pomodoro,Bad habbits,1
2016-07-01,Getting ready for first Pomodoro,Bad habbits,1
2016-08-16,Getting ready for first Pomodoro,Bad habbits,1
2016-08-31,Getting ready for first Pomodoro,Bad habbits,1
2016-09-20,Getting ready for first Pomodoro,Bad habbits,1
2016-09-27,Getting ready for first Pomodoro,Bad habbits,2
2016-10-05,Getting ready for first Pomodoro,Bad habbits,2
2016-10-06,Getting ready for first Pomodoro,Bad habbits,2
2016-10-11,Getting ready for first Pomodoro,Bad habbits,2
2016-10-12,Getting ready for first Pomodoro,Bad habbits,1
2016-10-20,Getting ready for first Pomodoro,Bad habbits,2
2016-10-26,Getting ready for first Pomodoro,Bad habbits,2
2016-10-28,Getting ready for first Pomodoro,Bad habbits,3
2016-11-03,Getting ready for first Pomodoro,Bad habbits,2
2016-11-10,Getting ready for first Pomodoro,Bad habbits,2
2016-12-12,Getting ready for first Pomodoro,Bad habbits,2
2016-12-14,Getting ready for first Pomodoro,Bad habbits,3
2017-01-24,Getting ready for first Pomodoro,Bad habbits,2
2017-01-26,Getting ready for first Pomodoro,Bad habbits,2
2017-01-27,Getting ready for first Pomodoro,Bad habbits,4
2017-01-29,Getting ready for first Pomodoro,Bad habbits,2
2017-01-30,Getting ready for first Pomodoro,Bad habbits,2
2017-01-31,Getting ready for first Pomodoro,Bad habbits,3
2017-02-01,Getting ready for first Pomodoro,Bad habbits,3
2017-02-02,Getting ready for first Pomodoro,Bad habbits,2
2017-02-05,Getting ready for first Pomodoro,Bad habbits,3
2017-02-07,Getting ready for first Pomodoro,Bad habbits,2
2017-02-08,Getting ready for first Pomodoro,Bad habbits,2
2017-02-10,Getting ready for first Pomodoro,Bad habbits,2
2017-02-12,Getting ready for first Pomodoro,Bad habbits,2
2017-02-14,Getting ready for first Pomodoro,Bad habbits,2
2017-02-15,Getting ready for first Pomodoro,Bad habbits,2
2017-02-16,Getting ready for first Pomodoro,Bad habbits,1
2017-02-17,Getting ready for first Pomodoro,Bad habbits,2
2017-02-20,Getting ready for first Pomodoro,Bad habbits,1
2017-02-21,Getting ready for first Pomodoro,Bad habbits,2
2017-02-26,Getting ready for first Pomodoro,Bad habbits,2
2017-03-05,Getting ready for first Pomodoro,Bad habbits,1
2017-03-08,Getting ready for first Pomodoro,Bad habbits,1
2017-03-10,Getting ready for first Pomodoro,Bad habbits,2
2017-03-17,Getting ready for first Pomodoro,Bad habbits,2
2017-03-21,Getting ready for first Pomodoro,Bad habbits,2
2017-03-22,Getting ready for first Pomodoro,Bad habbits,2
2017-03-24,Getting ready for first Pomodoro,Bad habbits,2
2017-03-28,Getting ready for first Pomodoro,Bad habbits,2
2017-03-29,Getting ready for first Pomodoro,Bad habbits,2
2017-04-05,Getting ready for first Pomodoro,Bad habbits,2
2017-04-07,Getting ready for first Pomodoro,Bad habbits,1
2017-04-09,Getting ready for first Pomodoro,Bad habbits,4
2017-04-10,Getting ready for first Pomodoro,Bad habbits,1
2017-04-13,Getting ready for first Pomodoro,Bad habbits,2
2017-04-26,Getting ready for first Pomodoro,Bad habbits,2
2017-04-27,Getting ready for first Pomodoro,Bad habbits,3
2017-04-29,Getting ready for first Pomodoro,Bad habbits,3
2017-05-04,Getting ready for first Pomodoro,Bad habbits,2
2017-05-05,Getting ready for first Pomodoro,Bad habbits,2
2017-05-09,Getting ready for first Pomodoro,Bad habbits,2
2017-05-10,Getting ready for first Pomodoro,Bad habbits,1
2017-05-11,Getting ready for first Pomodoro,Bad habbits,2
2017-05-16,Getting ready for first Pomodoro,Bad habbits,2
2017-05-18,Getting ready for first Pomodoro,Bad habbits,2
2017-05-19,Getting ready for first Pomodoro,Bad habbits,2
2017-05-23,Getting ready for first Pomodoro,Bad habbits,2
2017-11-21,Getting ready for first Pomodoro,Bad habbits,1
2018-01-11,Getting ready for first Pomodoro,Bad habbits,1
2018-02-02,Getting ready for first Pomodoro,Bad habbits,2
2018-02-06,Getting ready for first Pomodoro,Bad habbits,1
2018-02-16,Getting ready for first Pomodoro,Bad habbits,2
2015-10-31,Grand Canyon,Online work,2
2015-09-04,Grand canyon planning ,Default Project,1
2015-09-11,Grand canyon planning ,Default Project,1
2015-12-04,Gym,Exercises ,3
2015-12-07,Gym,Exercises ,3
2015-12-10,Gym,Exercises ,3
2015-12-15,Gym,Exercises ,3
2016-04-23,Gym treadmill run,Habbit,1
2016-05-24,Gym treadmill run,Habbit,1
2016-05-29,Gym treadmill run,Habbit,1
2016-06-12,Gym treadmill run,Habbit,1
2016-06-17,Gym treadmill run,Habbit,1
2016-07-22,Gym treadmill run,Habbit,3
2016-08-01,Gym treadmill run,Habbit,1
2016-08-15,Gym treadmill run,Habbit,1
2016-08-16,Gym treadmill run,Habbit,1
2016-08-22,Gym treadmill run,Habbit,1
2016-08-24,Gym treadmill run,Habbit,1
2016-08-29,Gym treadmill run,Habbit,1
